id	decision	reason
rxn11797	methyl (SAM/SAH)	endoxifen = N-desmethyl-hydroxytamoxifen, known metabolite
rxn11800	methyl (SAM/SAH)	explicit desmethyl -> didesmethyltamoxifen
rxn11868	methyl (SAM/SAH)	LAAM -> nor-LAAM, known N-demethylation
rxn11869	methyl (SAM/SAH)	nor-LAAM -> dinor-LAAM, further N-demethylation
rxn11870	methyl (SAM/SAH)	explicit citalopram -> demethylcitalopram
rxn11872	methyl (SAM/SAH)	explicit demethyl -> didemethylcitalopram
rxn12098	methyl (SAM/SAH)	colcemid (N-methyl) -> deacetylcolchicine (N-H), N-demethylation
rxn12131	SKIP	strictosidine/strictosamide lactamization, not simple methyl loss
rxn12143	SKIP	secologanin/gentiopicrin iridoid glycoside chem, not methyl loss
rxn12240	SKIP	CoA lyase/retro-aldol cleavage, not methylation
rxn12242	SKIP	aldehyde dehydrogenase redox, not methylation
rxn12907	methyl (SAM/SAH)	CYP51 lanosterol 14-demethylase, well-characterized demethylation
rxn13146	SKIP	polyamine oxidase redox chemistry, not methylation
rxn14188	SKIP	explicit side-chain elongation, not methylation
rxn15530	SKIP	decarboxylating acyl-CoA condensation, not methylation
rxn15637	methyl (SAM/SAH)	nicotine -> (+)-nornicotine, known N-demethylation
rxn15828	SKIP	phosphonate chain-shortening (C2->C1 backbone), not methyl transfer
rxn15836	SKIP	phosphonobutanoate/pyruvate chain-shortening, not methyl transfer
rxn16693	methyl (SAM/SAH)	explicit 20-O-methyl variant pair
rxn21084	SKIP	glycosylation forming aloenin, not methylation
rxn21582	methyl (SAM/SAH)	explicit methoxy- vs hydroxy-phenalenone
rxn22529	SKIP	oxidative side-chain shortening of IAA, not O/N-methylation
rxn23776	methyl (SAM/SAH)	explicit methoxy- vs hydroxyglucobrassicin, known IGMT pathway
rxn23917	SKIP	sterol isomerase (EC 5.3.3.-), formula shouldn't change
rxn24701	methyl (SAM/SAH)	norajmaline/ajmaline N-methyl pair (acetylated form)
rxn24703	methyl (SAM/SAH)	norajmaline -> ajmaline, known N-methylajmaline synthase
rxn25414	SKIP	cyclopropane/diene isomerization, not a methyl pair
rxn25437	SKIP	acyl-CoA thioesterase release, methyl group unrelated to change
rxn26823	methyl (SAM/SAH)	explicit N-methylcotininium ion vs cotinine
rxn28416	SKIP	PEP vs erythrose-4-phosphate, unrelated metabolites, mismatched pairing
rxn28426	methyl (SAM/SAH)	explicit 7-methoxy vs 7-hydroxy anthraquinone
rxn28427	methyl (SAM/SAH)	net loss of one OMe among anthraquinone substituents
rxn28429	methyl (SAM/SAH)	net loss of one OMe among anthraquinone substituents
rxn28430	methyl (SAM/SAH)	net loss of one OMe among anthraquinone substituents
rxn28431	methyl (SAM/SAH)	net loss of one OMe among anthraquinone substituents
rxn28432	methyl (SAM/SAH)	explicit 6-methoxy vs 6-hydroxy anthraquinone
rxn28434	methyl (SAM/SAH)	explicit 8-methoxy vs 8-hydroxy anthraquinone
rxn28436	methyl (SAM/SAH)	net loss of one OMe among anthraquinone substituents
rxn28441	methyl (SAM/SAH)	net loss of ring 2-methyl, anthraquinone tailoring series
rxn28444	methyl (SAM/SAH)	net loss of ring 2-methyl, anthraquinone tailoring series
rxn28839	methyl (SAM/SAH)	explicit 14-demethyllanosterol -> 4-methylzymosterol
rxn30877	SKIP	2-oxoglutarate dioxygenase hydroxylation, cofactor couple already present
rxn31002	SKIP	2-oxoglutarate dioxygenase hydroxylation, cofactor couple already present
rxn39491	SKIP	decarboxylating acyl-CoA condensation, not methylation
rxn39893	SKIP	methadone->EDDP demethylation+cyclization, residual includes extra O
rxn39894	SKIP	duplicate/ambiguous EDDP naming, can't confirm methyl relation
rxn41898	methyl (SAM/SAH)	explicit methyl fusarate = methylester of fusaric acid
rxn42088	SKIP	cocaine+ethanol->cocaethylene is transesterification, not SAM methylation
rxn44814	SKIP	glycosylation forming aloenin, not methylation
rxn45120	SKIP	sterol skeleton rearrangement, both names already dimethyl, unclear
rxn47533	methyl (SAM/SAH)	laudanosine = N-methyltetrahydropapaverine
rxn47547	SKIP	sterol skeleton rearrangement, both names already (di)methyl, unclear
rxn59459	methyl (SAM/SAH)	explicit 6-methoxy-6-oxo ester vs maleylacetate diacid
